client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26798443.mp3	Yusuf ya ce yanzu ya dawo daga Ostiraliya.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26805085.mp3	Ina sha.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26812222.mp3	Sai shekara mai zuwa!	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26812334.mp3	Aliyu uwanta na da son aiki sosai.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26812831.mp3	Saka da dutsen katin a teburin itacen oak.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26838174.mp3	Ina fata dukkanku za ku ji ni sosai. Wannan ita ce ma'anar kawai.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26838344.mp3	Ƙraje dun sun fito a jikin Hassan, bayan an canza masa magani.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26838801.mp3	Habibu da Lare ba za su yi hakan a kan lokaci ba.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26842537.mp3	Suna rusa bangon.	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26869770.mp3	Wannan dan itaciyar ya fi wancan!	1	1	thirties	female			ha	
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26869813.mp3	Duniya tana bukatar bayanan da Wikipeidia ka bayarwa, fiye da haka yanzu.	1	1	thirties	female			ha	
