client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689626.mp3	Ka ọ batara n'ọkwa	1	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689627.mp3	ọkachasị n'ilekwasà anya n'etu ọnọdụ ala Nigeria siri debe isi na ọnụ ugbua.	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689628.mp3	Ogologo ndụ ụmụ Igbo!!	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689629.mp3	nakwa ịtụ mmamma.	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689630.mp3	Mana Ogbonna kwuru na ọbụghị ya dere edemede ahụ kọtọrọ aha gọvanọ	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689631.mp3	Ọ na-abụ aka kpàrá ezekudele	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689632.mp3	Uche Nwoko dabara ọfụma na ihe ha n'achọ.	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689633.mp3	na ụfọdụ ndị nkuzi ndị ọzọ sitere ụlọakwụkwọ ahụ	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689634.mp3	N'ogè â nà ndụ̀, Feynman à bụzie otù diamụ̀mà ọ̀kàka ha mà n'ụ̀wà.	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689635.mp3	wee nwụchikọọ ya bụ oke mkpi na-agbara ọha ewu.	0	0					ig	
0c35cf61fcfd02fd2e6391174ba435a614a3fb4c7f7846475545b3e6b063439858abfa349b53302a1f12c0be40a031ec0ea165b15861f6c97775964158ad5eba	common_voice_ig_30689652.mp3	nke mgbe ọ gachaara	1	0					ig	
0c35cf61fcfd02fd2e6391174ba435a614a3fb4c7f7846475545b3e6b063439858abfa349b53302a1f12c0be40a031ec0ea165b15861f6c97775964158ad5eba	common_voice_ig_30689655.mp3	Ndị mụrụ ya bụ Maazị na Oriakụ Donald Nwocha.	0	0					ig	
0c35cf61fcfd02fd2e6391174ba435a614a3fb4c7f7846475545b3e6b063439858abfa349b53302a1f12c0be40a031ec0ea165b15861f6c97775964158ad5eba	common_voice_ig_30689656.mp3	Ọ bụ nwa mbụ n’ime mmadụ atọ, amụrụ n’ezinụlọ nke ndị na-eme egwuregwu ntụrụndụ.	0	0					ig	
0c35cf61fcfd02fd2e6391174ba435a614a3fb4c7f7846475545b3e6b063439858abfa349b53302a1f12c0be40a031ec0ea165b15861f6c97775964158ad5eba	common_voice_ig_30689657.mp3	rụọrọ ha ezigbo ebe obibi	0	0					ig	
0c35cf61fcfd02fd2e6391174ba435a614a3fb4c7f7846475545b3e6b063439858abfa349b53302a1f12c0be40a031ec0ea165b15861f6c97775964158ad5eba	common_voice_ig_30689658.mp3	Chineke nara ekele!	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689665.mp3	Ruo oge ahụ, ọ bụ ama egwuregwu kacha enwu enwu na Enugu.	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689666.mp3	ma ndị ụlọ ma ndị ama.	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689668.mp3	ọ ga-adịkwa mkpà ka anyị hụkwa ọmụmaatụ Arụ	0	0					ig	
6b1d842fe832b71662c38b963d5f1ee8b39fecf43286cfa5cf7d56d639854a0c93229dbdd283b5448c8a2b902d67de7267e8aae0c9a4ff56dcb7f0b421d24019	common_voice_ig_30689669.mp3	Bill Clinton na-akwàdo ya	0	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30689997.mp3	Maazị Chuks Ezeoba	1	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30689998.mp3	mgbọ	0	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30689999.mp3	O mere ka a mara na ndị niile ahụ mere ihe ahụ bụ ndị Fulani	0	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690000.mp3	izèrè mmetụkọrịta ahụ	0	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690001.mp3	bụọ abụ otutu dị iche iche	1	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690008.mp3	Maazị Kingsley Awuka Esq.	0	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690009.mp3	By Abraham Madu	1	1					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690010.mp3	Ndị Uwe Ojii Anambra Ejidela Mmadụ Anọ Maka Ohi, Ntọntọ Na Ịkwasò Iko n'Iké	0	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690011.mp3	maka ịkpụ arụ.	0	0					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690012.mp3	na ọdịbendị dịka ihe dị ezi mkpa na nke bakwara urù nke ukwuu	1	1					ig	
e87a3267f74df168002dc6dfe268766ac4f74817d87296899bd689954b7b6e92af5b9d03a994e08644802f921d3583ee4c5b4aedd2beab97b479a37bcd2f1410	common_voice_ig_30690129.mp3	Nke ahụ wee bụrụnnọọ echiche onye nzuzu sị na ya dara n'elu	0	0					ig	
