client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
c1dede976e1513412db013f6711fe999b2ce0202d00637a44edd2ea756052c168c6d8db2c26b3a9bf343f4cc4985adcc9ea175d6da7044adaf6fe175e2e3efbb	common_voice_mhr_30926298.mp3	Рвезе-влак поче-поче шолдыран лектыт.	1	2					mhr	
c1dede976e1513412db013f6711fe999b2ce0202d00637a44edd2ea756052c168c6d8db2c26b3a9bf343f4cc4985adcc9ea175d6da7044adaf6fe175e2e3efbb	common_voice_mhr_30926316.mp3	Валерий Оксим ончалеш, чонжылан ласкан, шокшын чучеш.	0	2					mhr	
ab5242ba0bfaf8f96c3e3eb2be6431de6d79fc90cda9a1e9a8811329e49a177dfa30b7336b102bf1bbad85e5720e06be5eec02dfc409f3a5964559ff8d06872f	common_voice_mhr_30926335.mp3	Кевытыш Серге ватын Орина пеш чӱчкыдын коштеш.	1	2	fifties	male			mhr	
f29945446fc29ed9e56c4cb279ac6441ae5c95cc2026b6baa8b899e23f458e6ea8350e469f31c2ce4e00cd277f7f68cecc5aeee37ef5066bd1e4005d21a1a803	common_voice_mhr_30944743.mp3	Садлан Оврем йогырак член-влаклан сыраш тӱҥалын, ик гана шканжак манын:	0	4			Уральский		mhr	
f29945446fc29ed9e56c4cb279ac6441ae5c95cc2026b6baa8b899e23f458e6ea8350e469f31c2ce4e00cd277f7f68cecc5aeee37ef5066bd1e4005d21a1a803	common_voice_mhr_30945124.mp3	Шомакше памашла веле йога.	0	4	sixties	female	Уральский		mhr	
ff6373ccdbbe7cbad1de6c6436728876b6cec2bd6305578851e222065fae7bd726727f8ae16b303aaf6558ea80f2dd7ddbc970b7536528adb34b609c3cf6dec9	common_voice_mhr_30945872.mp3	— Йодаш тӱҥалеш гын, ышташет логалеш.	0	2					mhr	
ff6373ccdbbe7cbad1de6c6436728876b6cec2bd6305578851e222065fae7bd726727f8ae16b303aaf6558ea80f2dd7ddbc970b7536528adb34b609c3cf6dec9	common_voice_mhr_30946237.mp3	Сакарын вынер гай ошемше чурийжым ончен, тул йыр шинчыше йолташышт шыпланат.	0	2					mhr	
ff6373ccdbbe7cbad1de6c6436728876b6cec2bd6305578851e222065fae7bd726727f8ae16b303aaf6558ea80f2dd7ddbc970b7536528adb34b609c3cf6dec9	common_voice_mhr_30947082.mp3	Марашев воктен Салазкин, йолдымо, кия.	0	2	thirties	female			mhr	
ff6373ccdbbe7cbad1de6c6436728876b6cec2bd6305578851e222065fae7bd726727f8ae16b303aaf6558ea80f2dd7ddbc970b7536528adb34b609c3cf6dec9	common_voice_mhr_30947152.mp3	Ятыр ий годым эргыже мӱй ден калачым кочкын ила, пундышым чарныде лудеш.	0	2	thirties	female			mhr	
ff6373ccdbbe7cbad1de6c6436728876b6cec2bd6305578851e222065fae7bd726727f8ae16b303aaf6558ea80f2dd7ddbc970b7536528adb34b609c3cf6dec9	common_voice_mhr_30947191.mp3	Мемнан могырышто — чынлык!	0	2	thirties	female			mhr	
