client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
add544349663d110185e911630cd2d6f3219202f5ccc8cbd90cc85263bdf49237b90698fee7e2f09e80ae69ac95c020941cff75b07e4b1a3be0062530172544c	common_voice_tok_31335587.mp3	jan pali mute li tawa e ona tawa tomo sin.	1	0					tok	
add544349663d110185e911630cd2d6f3219202f5ccc8cbd90cc85263bdf49237b90698fee7e2f09e80ae69ac95c020941cff75b07e4b1a3be0062530172544c	common_voice_tok_31335591.mp3	lawa li ike tawa ona kin.	0	0					tok	
add544349663d110185e911630cd2d6f3219202f5ccc8cbd90cc85263bdf49237b90698fee7e2f09e80ae69ac95c020941cff75b07e4b1a3be0062530172544c	common_voice_tok_31335891.mp3	mi pona!	0	0					tok	
add544349663d110185e911630cd2d6f3219202f5ccc8cbd90cc85263bdf49237b90698fee7e2f09e80ae69ac95c020941cff75b07e4b1a3be0062530172544c	common_voice_tok_31335940.mp3	ona li wawa mute, li ken moli e sina!	0	0					tok	
45054681024751b6cf356a95351d153771f6c7b03c6638fd346ad5fd3428f90023d57f28c2f6dab5e2a11fca170e1e56ff0e850c510a36c98d342d3677faa59f	common_voice_tok_31351446.mp3	tenpo ale la ona li lon insa tomo.	0	0					tok	
28b93d358376d782d90e97469acaabbc2865b8438c2f69be33d237f1530d79edbe1782e869e8011a79a74cab72f1e2769979680187c89b747dc68f1732001c03	common_voice_tok_31437053.mp3	mi wile moku. sina la seme?	1	0	thirties	male			tok	
366a753846275be279eda9ca2cbda6b54abfef3e22d2b66f252c39722de707e9859e6576abb45f36726cc8291e71aaf5dfa6cbc875f68141417a2666b2263778	common_voice_tok_31450245.mp3	waso sona ni li walo mute lon pimeja li sama suno tawa lukin.	1	1	twenties	female			tok	
49297df14037eb8ac21dcb9341d5122ef650026804eee1eccaae1d699a390f83bbd9a8532fa434417608565b842b2137abf478c3e33dbad84be94bc5be9d642f	common_voice_tok_31480366.mp3	sona pi toki Wijosa li musi mute tawa mi!	1	1					tok	
ea6580cfd91482b0686a12773dac2dfc464dab360553c3f20b12ade9d561d357f92a64127e075673c0ed306d0f96d3c11bc133b6b65faef960a87963835a3831	common_voice_tok_31522500.mp3	pini li pona a. taso, tan ona la, nasin open mute li kama.	0	1	twenties	male			tok	
ea6580cfd91482b0686a12773dac2dfc464dab360553c3f20b12ade9d561d357f92a64127e075673c0ed306d0f96d3c11bc133b6b65faef960a87963835a3831	common_voice_tok_31522504.mp3	mi sona ala e toki Inli. o toki sin e ni kepeken toki ante.	1	1	twenties	male			tok	
ea6580cfd91482b0686a12773dac2dfc464dab360553c3f20b12ade9d561d357f92a64127e075673c0ed306d0f96d3c11bc133b6b65faef960a87963835a3831	common_voice_tok_31711091.mp3	jan Lakuse en jan Itan li toki lon kalama sin pi tenpo esun ni.	1	0	twenties	male			tok	
99d46f0a4a31b25f729d86e295a915a8be6eadb2f9a3d69e7380d467c7979fcfdb401d0150181f52b67e0404f06986b93d99da3ca42bf0009de2cb7d3a4cf920	common_voice_tok_31905914.mp3	o lukin e sina!	1	0	teens	other			tok	
99d46f0a4a31b25f729d86e295a915a8be6eadb2f9a3d69e7380d467c7979fcfdb401d0150181f52b67e0404f06986b93d99da3ca42bf0009de2cb7d3a4cf920	common_voice_tok_31916038.mp3	sinpin pi pona lukin li lon sewi pi mi ale.	0	0	teens	other			tok	
